trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
91,False,"{'a': 0.4, 'e': 0.9958623565014509}",20,0,-119.48134956868097,"{0: 10, 1: 3, 2: 4, 3: 2, 4: 1}",0
92,False,"{'a': 0.4, 'e': 0.9957709841286342}",25,0,-154.0867668941306,"{0: 16, 1: 3, 2: 2, 3: 1, 4: 3}",0
93,False,"{'a': 0.4, 'e': 0.9956786159849162}",25,0,-138.95611332463673,"{0: 14, 1: 3, 2: 6, 3: 0, 4: 2}",0
94,False,"{'a': 0.4, 'e': 0.9955852521626654}",25,0,-114.53151565997544,"{0: 14, 1: 3, 2: 4, 3: 4, 4: 0}",0
95,False,"{'a': 0.4, 'e': 0.9954908927552453}",30,0,-93.24409533670388,"{0: 22, 1: 4, 2: 2, 3: 0, 4: 2}",0
96,False,"{'a': 0.4, 'e': 0.9953955378570153}",20,0,-112.42326109627692,"{0: 11, 1: 1, 2: 6, 3: 1, 4: 1}",0
97,False,"{'a': 0.4, 'e': 0.9952991875633305}",35,0,-249.99509294274282,"{0: 19, 1: 1, 2: 11, 3: 0, 4: 4}",0
98,False,"{'a': 0.4, 'e': 0.995201841970541}",20,0,-54.637496917901565,"{0: 10, 1: 7, 2: 3, 3: 0, 4: 0}",0
99,False,"{'a': 0.4, 'e': 0.9951035011759926}",20,0,-90.80275083505148,"{0: 13, 1: 1, 2: 4, 3: 1, 4: 1}",0
100,False,"{'a': 0.4, 'e': 0.9950041652780257}",20,0,-155.00963475422427,"{0: 9, 1: 1, 2: 8, 3: 0, 4: 2}",0
101,False,"{'a': 0.4, 'e': 0.9949038343759766}",20,0,-133.9151543246061,"{0: 11, 1: 2, 2: 4, 3: 1, 4: 2}",0
102,False,"{'a': 0.4, 'e': 0.994802508570176}",30,12,-88.0305548033305,"{0: 13, 1: 0, 2: 3, 3: 0, 4: 2}",1
103,False,"{'a': 0.4, 'e': 0.9947001879619498}",25,0,-145.1170095672823,"{0: 14, 1: 5, 2: 3, 3: 1, 4: 2}",0
104,False,"{'a': 0.4, 'e': 0.9945968726536185}",25,15,-8.806695858656001,"{0: 7, 1: 2, 2: 1, 3: 0, 4: 0}",1
